2026-03-08T21:49:27.469+08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final reqId=
2026-03-08T21:56:52.995+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 158 ms. Found 8 JPA repository interfaces. reqId=
2026-03-08T21:56:53.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T21:56:53.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.AuditLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileAssetRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileBlobRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLevelRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UploadSessionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.025+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserMembershipRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.028+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:56:53.029+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces. reqId=
2026-03-08T21:56:53.869+08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) reqId=
2026-03-08T21:56:53.883+08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] reqId=
2026-03-08T21:56:53.885+08 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] reqId=
2026-03-08T21:56:53.886+08 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26] reqId=
2026-03-08T21:56:53.957+08 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext reqId=
2026-03-08T21:56:53.957+08 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2337 ms reqId=
2026-03-08T21:56:54.533+08 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] reqId=
2026-03-08T21:56:54.609+08 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final reqId=
2026-03-08T21:56:54.656+08 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled reqId=
2026-03-08T21:56:54.938+08 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer reqId=
2026-03-08T21:56:54.961+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... reqId=
2026-03-08T21:56:55.142+08 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4440750 reqId=
2026-03-08T21:56:55.143+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. reqId=
2026-03-08T21:56:55.187+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) reqId=
2026-03-08T21:56:55.188+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead reqId=
2026-03-08T21:56:56.169+08 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) reqId=
2026-03-08T21:56:56.171+08 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' reqId=
2026-03-08T21:56:56.972+08 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider reqId=
2026-03-08T21:56:56.972+08 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. reqId=
2026-03-08T21:56:57.067+08 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. reqId=
2026-03-08T21:56:58.123+08 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 6 endpoints beneath base path '/actuator' reqId=
2026-03-08T21:56:58.706+08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] reqId=
2026-03-08T21:56:58.723+08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' reqId=
2026-03-08T21:56:58.727+08 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5673] reqId=
2026-03-08T21:56:58.804+08 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#11261fc9:0/SimpleConnection@20baa4eb [delegate=amqp://guest@127.0.0.1:5673/, localPort=27934] reqId=
2026-03-08T21:56:58.909+08 [main] INFO  c.example.sensorspring.Application - Started Application in 7.987 seconds (process running for 8.371) reqId=
2026-03-08T22:16:55.884+08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final reqId=
2026-03-08T22:16:55.926+08 [main] INFO  c.example.sensorspring.Application - Starting Application using Java 21.0.8 with PID 10280 (D:\Code\Github_Remote\Sensor_Spring\build\classes\java\main started by 19638 in D:\Code\Github_Remote\Sensor_Spring) reqId=
2026-03-08T22:16:55.927+08 [main] INFO  c.example.sensorspring.Application - No active profile set, falling back to 1 default profile: "default" reqId=
2026-03-08T22:16:56.782+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T22:16:56.783+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. reqId=
2026-03-08T22:16:56.916+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 127 ms. Found 8 JPA repository interfaces. reqId=
2026-03-08T22:16:56.926+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T22:16:56.926+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. reqId=
2026-03-08T22:16:56.941+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.AuditLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.941+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileAssetRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.941+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileBlobRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.942+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLevelRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.944+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.944+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UploadSessionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.945+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserMembershipRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.946+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T22:16:56.946+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces. reqId=
2026-03-08T22:16:57.660+08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) reqId=
2026-03-08T22:16:57.669+08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] reqId=
2026-03-08T22:16:57.671+08 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] reqId=
2026-03-08T22:16:57.671+08 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26] reqId=
2026-03-08T22:16:57.750+08 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext reqId=
2026-03-08T22:16:57.751+08 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1786 ms reqId=
2026-03-08T22:16:58.400+08 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] reqId=
2026-03-08T22:16:58.459+08 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final reqId=
2026-03-08T22:16:58.488+08 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled reqId=
2026-03-08T22:16:58.819+08 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer reqId=
2026-03-08T22:16:58.857+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... reqId=
2026-03-08T22:16:59.061+08 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@16024b49 reqId=
2026-03-08T22:16:59.064+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. reqId=
2026-03-08T22:16:59.125+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) reqId=
2026-03-08T22:16:59.127+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead reqId=
2026-03-08T22:17:00.101+08 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) reqId=
2026-03-08T22:17:00.103+08 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' reqId=
2026-03-08T22:17:00.854+08 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider reqId=
2026-03-08T22:17:00.856+08 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. reqId=
2026-03-08T22:17:00.937+08 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. reqId=
2026-03-08T22:17:02.055+08 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 6 endpoints beneath base path '/actuator' reqId=
2026-03-08T22:17:02.636+08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] reqId=
2026-03-08T22:17:02.660+08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' reqId=
2026-03-08T22:17:02.664+08 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5673] reqId=
2026-03-08T22:17:02.717+08 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#169f4152:0/SimpleConnection@1f5246e2 [delegate=amqp://guest@127.0.0.1:5673/, localPort=21901] reqId=
2026-03-08T22:17:02.812+08 [main] INFO  c.example.sensorspring.Application - Started Application in 7.354 seconds (process running for 7.731) reqId=
2026-03-08T22:18:11.381+08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final reqId=
2026-03-08T22:18:11.417+08 [main] INFO  c.example.sensorspring.Application - Starting Application using Java 21.0.8 with PID 33840 (D:\Code\Github_Remote\Sensor_Spring\build\classes\java\main started by 19638 in D:\Code\Github_Remote\Sensor_Spring) reqId=
2026-03-08T22:18:11.418+08 [main] INFO  c.example.sensorspring.Application - No active profile set, falling back to 1 default profile: "default" reqId=
2026-03-08T22:18:12.337+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T22:18:12.339+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. reqId=
